es,pt
interfiere,informao
investigaciones,investigador
tome,for
organizacin,organizao
votos,votos
oponerse,obstar
alguna,incluir
unido,unido
reino,reino
ordenar,ordenar
quien,deteno
descripcin,descrio
incorecta,incoreta
insuficiente,insuficiente
inecesariamente,desnecesariamente
dirige,preside
municipal,municpio
abogada,manda
devolver,devolver
asisti,vtima
mantener,manter
previa,reunio
explicar,explicar
ocurir,acontecer
qu,que
sucede,que
cuando,quando
deseo,quiser
depende,dependem
vea,ver
pregunta,pergunta
tenemos,tomamos
referndums,referendo
editado,contem
comercial,eleitorais
realice,confirma
directo,comerciais
entra,entra
febrero,fevereiro
utiliza,usado
celebre,ocora
publica,publicado
votaciones,encerada
ltimo,estados
corecta,democrtica
revisor,revisor
guardaropa,guardaroupa
ubicado,localizado
caduti,caduti
nasiriya,nasiriya
madama,madama
indique,diser
superintendencia,superintendente
oficial,oficial
rea,aonde
pagar,pagar
muestre,apresente
duda,dvida
declarar,resultados
nuevas,caso
ocupar,que
tal,","
cifra,valor
nacionales,irlanda
debido,devido
crcel,em
htpsw,htpsw
dnde,onde
srl,os
bordo,embarque
ciudadanos,cidados
vivan,vivam
gobierno,responsveis
condados,condados
incluido,qualificar
divide,dividido
zonas,reas
combinadas,combinadas
ciudad,cidade
waterford,waterford
costes,custos
desarolo,realizao
estn,esto
incluidos,estudantes
indicando,indicando
fsicas,fsicas
dificultad,dificuldade
colegios,asembleia
autorizados,autorizados
etc,etc
actual,actual
prafo,pargrafo
dicho,ou
len,lem
transcripcin,transcrio
evidencias,depoimentos
poblacin,populao
designados,designados
descrito,presidente
cathaoirleach,cathaoirleach
aparecen,aparecem
resolucin,asembleia
pacfica,definitiva
georgia,ilhas
sud,do
poderes,diferentes
demandas,anseios
frecia,frecia
club,club
eurostar,eurostar
termini,termini
julio,julho
usuario,username
transcurso,durante
adir,adio
eliminar,eliminao
secretario,escrivo
registro,registo
legalmente,promesa
recibirse,recebidos
tarde,ao
santo,santa
ir,ser
acompadas,acompanhado
aceptan,para
categoras,grupos
levar,palet
titular,titular
foletos,panfletos
serie,srie
palabras,palavras
saludo,boas
mario,vindas
giro,mario
subsecretario,subsecretrio
internacional,internacional
vicepresidente,vicepresidente
paolo,paolo
gentiloni,gentiloni
prepara,preparar
presenta,proceso
emisoras,empresas
grficos,fotgrafos
tulo,tulo
profesional,profisional
periodistas,jornalistas
incluida,includo
fsica,fsica
persistir,existir
impedirle,asembleia
detalada,detalhadas
labor,do
participaron,participaram
instituto,talolatino
argentina,argentina
salvador,equador
hait,haiti
panam,panam
paraguay,paraguai
comparte,partilha
conclusiones,concluses
acuerdos,acordos
cambio,cop
celebrada,realizada
bon,bon
pasaporte,pasaporte
educativo,emitido
rogamos,pedimos
ruega,na
escritas,entregues
facilitar,facilitar
reparto,distribuio
sera,pedimos
entregaran,entregues
alojamiento,pernoite
estudian,enquanto
mientras,frequentam
viven,residam
peticin,petio
ferdinando,ferdinando
encontrar,encontrar
relenando,prenchendo
trabajamos,trabalhar
identidad,identidade
polaco,polons
desempleada,desempregado
responde,descritas
asesoramiento,aconselhamento
jurdico,jurdico
cautela,cuidadosa
recibir,receber
lesiones,danos
prdida,perdas
ingresos,renda
continuar,poderia
cuidado,procesar
brasil,brasil
elaboracin,preparao
teritorio,teritrio
obras,obras
embajador,embaixador
colombia,colmbia
unin,unio
interparlamentaria,interparlamentar
sesin,seso
pone,puser
cules,quais
testigos,quais
remitida,alterao
admisible,inadmisvel
ciudadano,cidado
elegido,eleito
periodista,jornalista
reglas,regras
criminal,criminal
cumplido,idade
finaliza,termina
envan,enviam
terminado,terminado
realizado,concluda
cundo,quando
significativo,significativo
punto,ponto
produjo,ocoreu
cunto,quanto
tarda,demora
prestar,precisar
quin,quem
apele,recora
indulgente,sentena
raporti,raporti
it,it
reafirma,reafirma
cumplir,cumprir
compromisos,compromisos
asumidos,asumidos
pars,paris
dedicado,fornece
era,na
globalizacin,globalizao
despedida,despedida
recomienda,recomendamos
mes,com
marinos,marinhos
clima,climtica
alimentaria,alimentar
normativa,regulamento
europea,europeia
residir,residir
habitualmente,efectivamente
censarse,registar
residencia,residncia
comit,comit
redacin,redao
romamiln,romamilo
rumano,romeno
ruso,ruso
aldo,salo
moro,moro
cavaliere,cavaliere
segunda,segunda
transferirse,transferido
tercera,terceira
permitidas,permitidas
decidimos,decidirmos
elo,iso
gran,grandes
tensin,tenses
cupo,quota
distribuye,distribudo
estoy,eu
prestando,estiver
testimonio,testemunhar
me,crime
soy,for
podran,jri
represente,representarme
existir,ento
buena,alguma
independientes,independentes
restantes,restantes
progreso,progreso
restante,restante
transfieren,transferidos
viable,vivel
acompado,acompanhado
informe,registro
cumplirse,cumprirse
procedimientos,procedimentos
irean,irean
ido,ido
ela,ela
esperan,proceso
vaya,v
absuelto,absolvido
origen,privado
recurible,residncia
mediante,resultado
individual,judicial
figurar,descrita
dejar,branco
superior,superior
igual,igual
siguiente,seguinte
ltima,ltimo
transferida,candidato
ese,ese
pila,","
counseling,contiver
ste,","
relevante,relevantes
entregar,liberar
nuevo,deve
faltan,fica
siguen,elegveis
declarados,declarados
electos,eleitos
aportacin,satisfeito
sela,","
marca,marca
solicitante,imposibilidade
tribunales,tribunais
deciden,concordar
suspender,interomper
pilas,boletins
desea,quiser
medida,advertido
ofensas,menores
sean,ser
pensar,pensar
entender,comprender
suceda,ocora
nuestro,noso
secin,seco
siguiendo,seguindo
seguro,seguro
seminario,seminrio
embajada,embaixada
phoenix,phoenix
house,house
asegurar,asegurada
simultnea,simultnea
indicarse,indicar
confiscacin,confisco
bienes,bens
juicios,juzos
stephanie,stephanie
hochsteter,hochsteter
skinerkle,skinerkle
talolatino,americano
guatemala,guatemala
central,criminal
decididos,analisados
consultar,consultar
proteger,proteger
directa,direta
convencidos,convictos
turnos,tempo
palabra,fala
libre,livre
visitar,visitar
martes,terafeira
diciembre,dezembro
texto,texto
elaboran,compila
transferencia,transferncia
autocar,autocaro
litigante,atuando
representarle,representar
pida,pedir
cualquiera,livreto
anteriores,citados
reciba,receba
monetaria,financeiro
abrir,abrir
financiera,financeira
mesas,delegado
tratadas,controlados
incluir,incluir
afiliacin,filiao
fotografa,fotografia
evitar,preveno
grupo,um
inspectores,eleitoral
responsables,responsvel
denuncia,queixa
hecho,sob
promesa,legalmente
contribucin,consiste
dinero,dinheiro
postulacin,candidatura
formularios,formulrio
supremo,supremo
aparte,separado
efectiva,efetiva
conserva,cargo
mortal,fatal
impida,impea
fija,uma
montar,entrada
acusada,acusada
empleadas,empregada
propuesta,candidatura
postularse,apresentarse
postulada,nomeada
mnimo,mnimo
necesarios,necesrios
imprevista,indireta
cuyo,cujo
ocupa,encontre
vase,ver
encarga,responsvel
especfica,especfica
biblioteca,unidade
finanzas,finanas
generales,gerais
tecnolgica,informao
detales,informaes
atuendo,vesturio
viceministro,viceministro
visita,visita
vino,vinho
degustacin,degustao
vinos,vinhos
espumosos,espumantes
cero,zero
guiada,guiada
rendir,frente
frente,cmera
ponerse,contatar
ariba,acima
publicacin,publicao
dpireland,internet
lugar,local
alonzo,alonzo
gutirez,gutirez
flores,flores
fi,wifi
ponga,contate
repercutir,resultado
momento,momento
cabe,de
partidos,poltico
perodo,perodo
britnicos,britnicos
empieza,comea
b,lei
sanidad,sade
categora,titular
designado,designada
infancia,infncia
expresamente,expresamente
autorizado,autorizado
contralor,controlador
auditor,auditor
nombrado,nomeado
completo,permanente
cuentas,contas
pena,esteja
impuesta,imposta
competente,competente
bibliotecas,biblioteca
