,es,it
224,aconseja,consigliato
225,abastecerse,dotarsi
226,potable,da
227,beber,bere
228,levar,i
229,alimentos,alimentos
230,discapacidad,disabilit
231,permitir,ameso
232,apropiada,ricerche
233,oportuno,oportuno
234,indicar,segnalare
235,realizar,caso
236,momento,momento
237,reserva,prenotazione
238,posibles,limitazioni
239,impedimentos,altro
240,limitaciones,da
241,derivar,di
242,idneos,idonei
243,motora,motoria
244,recorido,excursus
245,histricoartstico,storicoartistico
246,naturalista,naturalistico
247,capocotariserva,capocotariserva
248,di,di
249,lauro,malafede
250,tctiles,tatili
251,visin,vedenti
252,reducida,ipovedenti
253,sala,sala
254,hoy,ogi
255,simplemente,semplice
256,estancia,sala
257,paso,paso
258,siglo,pitrice
259,fue,stato
260,utilizada,usata
261,pontfices,pontefici
262,impartir,impartire
263,bendicin,benedizione
264,fieles,fedeli
265,desde,dala
266,ventana,per
267,dan,","
268,nombre,nome
269,encuentran,trovano
270,centro,centro
271,bveda,volta
272,fueron,stati
273,pintadas,dipinte
274,representar,dichiarare
275,escudo,scudo
276,gran,grande
277,pontfice,pontefice
278,baroca,baroca
279,urbano,urbano
280,vi,vi
281,barberini,vi
282,resto,resto
283,cambio,cambio
284,decorada,decorata
285,grutescas,grotesche
286,bustos,busti
287,personajes,personagi
288,antigua,dela
289,friso,fregio
290,estuco,in
291,poca,il
292,napolenica,il
293,dedicado,","
294,lorenzo,.
295,mecenazgo,il
296,pudientes,posidenti
297,ayudas,contributi
298,capacidad,capacit
299,buen,publicitari
300,gobierno,governo
301,sus,proprio
302,aristocrticos,aristocratiche
303,elas,o
304,virtudes,virt
305,muy,non
306,apreciadas,aprezate
307,autor,oltre
308,francesco,francesco
309,masimiliano,masimiliano
310,laboureur,laboureur
311,escultor,scultore
312,romano,romano
313,siempre,sempre
314,ambientes,presenti
315,merece,ambiente
316,pena,pena
317,mencionar,indicherei
318,busto,busto
319,emperador,corispondente
320,cmodo,comodo
321,segundo,secondo
322,d,proprio
323,c,c
324,tapiz,rafigurante
325,parisino,","
326,fines,scopi
327,episodio,sembrato
328,amarila,giala
329,formaba,faceva
330,parte,parte
331,origen,origine
332,ambiente,dela
333,casi,quasi
334,metros,metri
335,conocido,in
336,galera,galeria
337,alejandro,spagnolo
338,existe,afinit
339,ya,gi
340,francesa,francese
341,haba,aveva
342,ocupado,ricoperto
343,quirinal,quirinale
344,preparando,lesposizione
345,palacio,italiana
346,espera,atesa
347,legada,arivo
348,bonaparte,bonaparte
349,dividi,in
350,tres,tre
351,buena,buona
352,frescos,afreschi
353,decoraban,decoravano
354,paredes,pareti
355,tapi,mur
356,ventanas,carateristiche
357,levadas,compiuti
358,volver,nuovamente
359,devolver,riscoprire
360,pinturas,dipinti
361,murales,murali
362,realizadas,serigrafie
363,grupo,tute
364,pintores,pintores
365,dirigidos,di
366,pietro,pietro
367,decoracin,decorazione
368,recuperada,rimesa
369,restauracin,restauro
370,encuentra,il
371,inferior,inferiori
372,huecos,","
373,ven,sono
374,parejas,copie
375,masculinas,di
376,figuras,figure
377,proximidad,maschili
378,altar,delaltare
379,arquitectura,architetonico
380,columnas,colone
381,resultan,risultano
382,truncas,mozate
383,elementos,documenti
384,ornamentales,ornamentali
385,sucesivos,dai
386,hechos,e
387,sobreponen,sovrapongono
388,papales,ulteriori
389,intervenciones,interventi
390,trabajando,lavorando
391,hay,cui
392,escenas,scene
393,testamento,testamento
394,ciclo,ciclo
395,baroco,baroco
396,destaca,forum
397,fresco,delafresco
398,hermanos,dei
399,reconocido,riconosciuto
400,pier,pier
401,ocupa,una
402,aportaciones,contributo
403,periodo,periodo
404,esta,tale
405,conserva,un
406,bonita,","
407,mrmol,marmo
408,blanco,bianco
409,embelecida,da
410,medalones,ognuno
411,ovales,ovali
412,realizados,","
413,tcnica,tecnica
414,operativo,nei
415,das,giorni
416,martes,marted
417,viernes,venerd
418,domingo,domenica
419,pera,operistico
420,escuelas,scuole
421,antes,liste
422,fecha,del
423,grupos,grupo
424,organizan,organizata
425,mximo,masimo
426,entrada,lentrata
427,nominativa,prenotazione
428,vinculada,profondamente
429,horario,orario
430,reservada,prenotata
431,podra,anulata
432,repblica,di
433,actividades,le
434,institucionales,le
435,presidente,scrutatore
436,funcionales,a
437,organizativas,organizative
438,general,generale
439,secretara,segreteria
440,bien,ben
441,exigencia,lesigenza
442,cuidado,latenzione
443,patrimonio,patrimonio
444,medioambiental,ambientale
445,caso,caso
446,podr,pu
447,otro,altro
448,rembolso,quanto
449,condiciones,condizioni
450,meteorolgicas,meteorologiche
451,adversas,averse
452,posibilidad,posibilit
453,modificar,modificare
454,senderos,sentieri
455,tcnicamente,praticabili
456,histrico,storico
457,artstico,artistico
458,lugar,posto
459,primeros,primi
460,entendimiento,","
461,arqueolgico,dei
462,aceder,acedere
463,vehculos,veicoli
464,privados,privati
465,datos,istituzioni
466,cuyos,e
467,identidad,acertato
468,proporcionados,documenti
469,realiz,si
470,tarifas,costo
471,exentas,limporto
472,pago,prenotazione
473,escolar,scolastico
474,enero,genaio
475,junio,giugno
476,damas,damas
477,encomendado,afidato
478,uno,dele
479,mayores,magiori
480,artistas,artiste
481,neoclasicismo,neoclasicismo
482,dans,danese
483,bertel,bertel
484,thorvaldsen,thorvaldsen
485,obra,lopera
486,ilustra,ilustra
487,magno,babilonia
488,babilonia,","
489,sujeto,fu
490,elegido,eleto
491,napolen,napoleone
492,lo,ai
493,nunca,mai
494,dara,avene
495,esa,una
496,tuvo,edizione
497,notable,pregio
498,varias,vari
499,copias,quando
500,napolenico,napoleonico
501,remontan,risalgono
502,panel,panel
503,mosaico,mosaico
504,chimenea,camino
505,estatuas,statue
506,dos,due
507,pintada,dipinta
508,felice,felice
509,giani,giani
510,cielorasos,sofiti
511,piezas,pezi
512,cuadro,quadro
513,trajano,trajano
514,sucesivamente,poi
515,otra,altro
516,zona,zona
517,revelando,rivelando
518,xvi,seicentesca
519,visible,mostra
520,armas,armi
521,actual,e
522,debe,deve
523,cuatro,principali
524,grandes,grandi
525,circular,rafiguranti
526,representan,la
527,soberano,sovrano
528,carlos,carlos
529,manuel,emanuele
530,falecidas,pochi
531,tras,spinge
532,pocos,pochi
533,matrimonio,matrimonio
534,dejando,la
535,rey,re
536,definitivamente,a
537,primera,prima
538,representacin,rapresentanza
539,algunas,area
540,ocasiones,ocasioni
541,jefe,capo
542,estado,capo
543,informalmente,incontra
544,altas,alte
545,autoridades,autorit
546,ceremonias,cerimonie
547,tienen,hano
548,saln,salone
549,inicialmente,origine
550,era,parlamenti
551,apartamento,apartamento
552,estancias,artistiche
553,continuacin,sar
554,segn,le
555,originario,di
556,estaban,presenti
557,destinadas,televisive
558,luego,poi
559,destinaron,adibite
560,soberanos,sovrani
561,altos,setore
562,dignatarios,dignitari
563,pintado,afrescato
564,superior,superiore
565,agostino,agostino
566,cabo,svolgimento
567,esquinas,angoli
568,papa,papa
569,pablo,pablo
570,v,v
571,borghese,borghese
572,ocho,italiani
573,falsos,quadri
574,cuadros,quadri
575,ilustran,campestre
576,vida,vita
577,san,san
578,santo,o
579,tocayo,omonimo
580,dedicada,delexpo
581,alegora,lalegoria
582,remonta,dal
583,color,color
584,reloj,orologio
585,francs,","
586,mediados,met
587,dedicados,dedicati
588,avatares,di
589,quijote,chisciote
590,mancini,mancini
591,fustigando,cupido
592,castidad,fustigare
593,despus,seguito
594,pocas,opere
595,coleciones,colezioni
596,siguieron,in
597,da,giorno
598,cofres,scrigni
599,igual,nele
600,hrcules,dercole
601,data,risale
602,anteriormente,precedenza
603,aqu,culturale
604,pequea,trovavano
605,capila,capela
606,especialmente,magiore
607,sta,questo
608,ltima,nela
609,madrugada,alalba
610,po,pio
611,arestado,arestato
612,cinco,ani
613,taraceados,intarsiati
614,ade,agiunge
615,monumental,monumentale
616,esconde,cela
617,interior,credito
618,cien,cento
619,cajoncitos,caseti
620,secretos,segreti
621,tipo,tipo
622,tamao,misura
623,admiran,vediamo
624,elegantes,eleganti
625,tapices,arazi
626,franceses,francesi
627,divinidades,divinit
628,clsicas,simbolegiano
629,simbolizando,simbolegiare
630,quinto,quinto
631,tema,dei
632,historias,storie
633,pao,parte
634,pertenece,apartiene
635,importante,pi
636,tejida,manifature
637,serie,serie
638,borbnicas,per
639,napolitanas,integrare
640,complementar,grupo
641,conservan,conservano
642,paos,dela
643,puramente,serie
644,zodiaco,zodiaco
645,modelado,modelato
646,carlo,carlo
647,representa,rapresenta
648,triunfo,di
649,todo,sopratuto
650,finales,ala
651,marco,nel
652,real,dunque
653,italia,italia
654,unificada,unificata
655,neto,antitesi
656,austeridad,austero
657,viejo,vechio
658,pontificio,pontificio
659,brugnoli,brugnoli
660,flanqueada,fianchegiata
661,zodaco,zodiaco
662,debajo,soto
663,lunetas,lunete
664,podan,potevano
665,invitados,invitati
666,admirar,aprezare
667,jvenes,young
668,tocando,far
669,msica,musica
670,cubrir,le
671,eligi,costituzionale
672,espectacular,spetacolare
673,nuevas,una
674,flora,faunistica
675,fauna,fauna
676,brasil,brasile
677,amrica,america
678,realidad,realt
679,colgados,colocati
680,forma,parte
681,sino,","
682,aunque,mentre
683,sudamericana,sudamericana
684,enriquecida,arichita
685,europeos,europei
686,nos,molto
687,encontramos,troviamo
688,aposentos,stanze
689,sugestivos,sugestive
690,biblioteca,library
691,pifeti,si
692,nacido,nato
693,vila,vila
694,reina,la
695,mitad,met
696,adaptarla,adatata
697,margarita,margherita
698,humberto,umberto
699,maestra,e
700,ebanistas,ebanisti
701,activo,ativo
702,servicio,sevizio
703,compuesta,composta
704,estructura,strutura
705,madera,di
706,lamo,legni
707,revestida,diversa
708,maderas,natura
709,palisandro,lulivo
710,naturalezas,","
711,olivo,e
712,conjunto,insieme
713,enriquecido,arichito
714,incrustaciones,intarsi
715,marfil,avorio
716,pequeas,medie
717,consolas,consoles
718,revestidas,rivestite
719,carey,","
720,taraceas,intarsi
721,simulan,simulano
722,hojas,fogli
723,apoyados,pogiati
724,superficie,piano
725,encima,sopra
726,estanteras,agiornate
727,jarones,vasi
728,maylica,maiolica
729,esculturas,sculture
730,dorada,dorato
731,estaciones,autobus
732,libros,libri
733,muchos,molti
734,elos,loro
735,encuadernaciones,decorate
736,decoradas,decorate
737,contienen,contengono
738,dedicatorias,dediche
739,ex,jugoslava
740,libris,libris
741,referidos,riferiti
742,fiestas,feste
743,junto,fronte
744,coraceros,salone
745,constituye,e
746,central,principale
747,l,contrasegnato
748,audiencias,udienze
749,comportan,comportano
750,nmero,numero
751,cenas,pranzi
752,juramento,giuramento
753,gobiernos,governo
754,inmediatamente,ha
755,saboya,savoia
756,unidad,dela
757,amplio,ampio
758,espacio,spazio
759,razn,ragione
760,rococ,rococ
761,estilo,stile
762,cedi,il
763,aspecto,laseto
764,solemne,cerimonia
765,imponente,decorata
766,smbolos,e
767,culmina,al
768,grandiosa,grandiosa
769,pintura,pitura
770,quiso,voluto
771,embelecerla,perci
772,enormes,due
773,reflejan,enormi
774,amplan,e
775,luz,emergere
776,cieloraso,e
777,estrado,creato
778,fijo,palco
779,orquesta,lorchestra
780,decir,che
781,domina,afaciato
782,alojar,ospitare
783,maestros,maestri
784,encargados,di
785,bailes,","
786,amenizar,la
787,banquetes,e
788,augusto,augusto
789,dividida,","
790,durante,nel
791,ocupacin,i
792,tener,avere
793,original,originale
794,pensar,anticamente
795,existan,e
796,levantadas,nel
797,salas,sale
798,restauraciones,restauri
799,abrir,aperto
800,hacia,verso
801,tapiadas,cortile
802,devolviendo,","
803,toda,delintera
804,luminosidad,la
805,barocas,baroche
806,redescubiertas,ritrovate
807,restauradas,restaurate
808,pertenecientes,extra
809,misma,stesa
810,alternan,piture
811,paneles,","
812,fondo,asumere
813,pintados,sala
814,referencia,riferimento
815,apoyado,pogia
816,copia,copia
817,clebre,celebre
818,escultura,scultura
819,conocida,nota
820,prima,prima
821,hasta,fino
822,conoca,urbana
823,trono,trono
824,ix,ix
825,reyes,dei
826,destinado,comandato
827,uso,e
828,toma,prende
829,adornan,adornano
830,tejidos,e
831,dibujos,disegni
832,pintor,pitore
833,florentino,fiorentino
834,agnolo,agnolo
835,figura,figura
836,blica,biblica
837,judo,ebreo
838,duque,louiselizabeth
839,palazo,palazo
840,vechio,vechio
841,florencia,","
842,comprende,che
843,veinte,venti
844,diez,finti
845,mientras,mentre
846,todava,ma
847,levados,definitivamente
848,dems,resto
849,decorar,laredo
850,actualidad,che
851,exponen,in
852,aposento,ale
853,jefes,capi
854,huspedes,ospiti
855,delegaciones,i
856,antigedad,clasica
857,denominaba,noto
858,oscura,dei
859,comunican,diretamente
860,directamente,diretamente
861,exterior,estero
862,tiempos,","
863,batalas,fato
864,exponan,dedicati
865,celebracin,celebrazione
866,alegrica,del
867,principios,inizi
868,balcn,balcone
869,encontraremos,qui
870,decorativos,afresco
871,papal,papale
872,estucos,lavorazione
873,recuerdan,richiama
874,ocasin,ocasione
875,conclaves,conclavi
876,celebraron,tenero
877,tapiaba,murato
878,aislamiento,del
879,condicionamientos,che
880,podido,posibile
881,filtrarse,dal
882,mundo,mondo
883,pero,ma
884,cuanto,apena
885,muro,al
886,abajo,soto
887,evento,levento
888,nuevo,ricontate
889,bendecir,per
890,precordios,precordi
891,falecidos,preparati
892,embalsamados,limbalsamazione
893,lamados,apunto
894,eran,erano
895,metlicos,metalici
896,recipientes,contenitori
897,trasladados,coniugipartner
898,cercana,vicinanza
899,iglesia,chiesa
900,santos,santi
901,vicente,vincenzo
902,anastasio,e
903,lile,lila
904,ciudad,cit
905,esplndidas,arazi
906,dedicadas,dedicate
907,temas,temi
908,agrestes,sulo
909,amplios,ampi
910,paisajes,paesagi
911,cabe,dubio
912,notar,notare
913,franjas,fasce
914,enmarcan,peraltro
915,vegetales,","
916,antesala,anticamera
917,virgen,madona
918,efecto,una
919,contena,un
920,marata,marata
921,nio,bambino
922,bendecidor,che
923,torino,del
924,xix,xix
925,cuando,quando
926,debido,causa
927,hubiera,avere
928,dormitorio,musicale
929,retorno,ritorno
930,cuartos,gabineti
931,creados,e
932,volvi,in
933,desmantelados,dela
934,paulina,paolina
935,primer,primo
936,len,","
937,xi,xi
938,ltimo,nelultimo
939,dejar,il
940,vctor,re
941,suelos,pavimento
942,mrmoles,marmi
943,esplndida,di
944,cincelada,modelata
945,datan,sono
946,hechura,sistemazione
947,derecha,destra
948,sobresale,emerge
949,enorme,imponente
950,lamada,","
951,ubicaba,ospitava
952,coro,coro
953,recientes,recenti
954,poco,poco
955,mes,magio
956,once,undici
957,trampantojo,finge
958,simula,unarchitetura
959,hornacinas,nichie
960,alojan,ospitano
961,falsas,finte
962,apstoles,apostoli
963,evangelistas,evangelisti
964,parisina,dei
965,gobelins,tra
966,ultimo,di
967,todos,ogni
968,domingos,","
969,tiene,aviene
970,libre,libero
971,aceso,nela
972,retransmite,trasmeso
973,directo,in
974,situado,situata
975,lado,acanto
976,cuarto,centenario
977,salita,salotino
978,decorado,laredo
979,mitolgicas,mitologiche
980,vestimento,vestizione
981,notan,notano
982,alegoras,delinverno
983,fama,fama
984,manos,mani
985,coronas,corone
986,laurel,daloro
987,ofrecen,oportunit
988,guilas,aquile
989,imperio,impero
990,decoran,aredano
991,habitacin,stanza
992,don,don
993,novela,di
994,segunda,seconda
995,manufactura,manifatura
996,npoles,napoli
997,cuelga,apesa
998,retrata,ritrae
999,eugenio,.
1000,capitn,capitano
1001,militar,militare
1002,xito,di
1003,lider,guid
1004,ejrcito,militare
1005,imperial,imperiale
1006,presenta,teramadre
1007,talados,intagliati
1008,trofeos,del
1009,despacho,studio
1010,encuentros,incontri
1011,oficiales,uficiali
1012,consultas,consultazioni
1013,secretarios,ministro
1014,partido,partito
1015,remodelacin,sabaudo
1016,convirti,uno
1017,fase,fase
1018,histrica,storica
1019,realizado,realizato
1020,angelitos,angioleti
1021,sostienen,sostengono
1022,gestas,imprese
1023,cabalerescas,cavaleresche
1024,muebles,mobili
1025,particular,particolare
1026,escritorio,scrivania
1027,procede,proviene
1028,colocado,opera
1029,pared,parete
1030,detrs,dietro
1031,jacques,jacques
1032,courtois,courtois
1033,il,il
1034,martirio,martirio
1035,canarias,gesuiti
1036,jesutas,","
1037,atacados,asaliti
1038,nave,nave
1039,expuestos,esposti
1040,angelo,criveli
1041,maria,maria
1042,criveli,il
1043,denominado,costituisce
1044,especializado,specializato
1045,escalinata,scalone
1046,honor,ospite
1047,construida,costruito
1048,flaminio,flaminio
1049,ponzio,ponzio
1050,rampa,dopia
1051,cruzada,incrociata
1052,permite,consente
1053,solucin,soluzione
1054,arquitectnica,architetonica
1055,funcional,funzionale
1056,papas,papi
1057,atravesadas,atraversate
1058,mayora,tuti
1059,cruce,rampe
1060,rampas,pianerotolo
1061,relano,consente
1062,espacioso,afaciarsi
1063,jardines,giardini
1064,fechada,databile
1065,bside,per
1066,restructuracin,debito
1067,clemente,clemente
1068,despegara,staco
1069,fragmento,framento
1070,salvara,di
1071,estudindose,una
1072,posicin,geostrategica
1073,admirarlo,loriginaria
1074,originariamente,veduta
1075,fragmentos,framenti
1076,melozo,melozo
1077,clebres,celebri
1078,ngeles,angeles
1079,msicosestn,musicanti
1080,conservados,conservano
1081,vaticano,vaticano
1082,horarios,telefono
1083,mircoles,mer
1084,sbado,sab
1085,cerado,sociali
1086,navidad,natale
1087,posible,posibile
1088,efectuar,efetuare
1089,pedir,potr
1090,suma,miliardi
1091,via,soldato
1092,quirinale,quirinale
1093,alalteza,alalteza
1094,dela,dela
1095,consulta,ispezione
1096,galeras,loge
1097,modificado,alterato
1098,transcurso,nel
1099,permanecido,rimasti
1100,ntegro,elenca
1101,donde,contrasegnando
1102,embargo,tutavia
1103,sustituido,di
1104,lados,delarazo
1105,agradable,otocentesca
1106,escengrafo,anibale
1107,anibale,anibale
1108,angelini,pelizolo
1109,elabor,un
1110,unos,giorni
1111,mueven,muovono
1112,asoman,si
1113,perezosamente,afaciano
1114,guardias,alcune
1115,suizos,guardie
1116,vistas,prospetiva
1117,muestran,mostrano
1118,edificios,edifici
1119,ciudades,cit
1120,pontificado,pontificato
1121,dignas,segnalano
1122,castel,castel
1123,santangelo,santangelo
1124,protegido,volute
1125,orden,ordine
1126,adir,papa
1127,panthen,pantheon
1128,orejas,","
1129,campanarios,campanili
1130,demolidos,che
1131,anteriores,precedenti
1132,valiosos,orientali
1133,druso,magiore
1134,lamara,cosideto
1135,hijastro,figliastro
1136,octaviano,","
1137,joven,giovanisimo
1138,falecido,una
1139,caer,caduta
1140,comunicante,suo
1141,tena,aveva
1142,inscripciones,scrite
1143,escudos,scudi
1144,sostenidos,reti
1145,amorcilos,cielo
1146,refieren,riferiscono
1147,romanas,romane
1148,alberto,alberto
1149,pretenda,instaurare
1150,instaurar,un
1151,paralelismo,tra
1152,destacan,mancano
1153,margaritas,che
1154,aludiendo,aludono
1155,esposa,una
1156,hermoso,bel
1157,caravagio,giugno
1158,dieciochesca,fondo
1159,negro,paneli
1160,realizada,creata
1161,pars,parigi
1162,utilizando,rafinati
1163,construy,mascarino
1164,ebanista,martin
1165,bernard,bernard
1166,vanrisamburg,vanrisamburg
1167,mueble,mobile
1168,prestigioso,prestigioso
1169,luis,luis
1170,dieciochescos,areda
1171,proceden,proviene
1172,ducado,ducato
1173,parma,parma
1174,precioso,prezioso
1175,revestimiento,rivestimento
1176,rojo,roso
1177,otras,inovazioni
1178,planta,tera
1179,noble,tera
1180,fortepiano,fortepiano
1181,ingls,inglese
1182,decorados,alestite
1183,instrumentos,strumenti
1184,musicales,musicali
1185,estudio,studio
1186,seis,sei
1187,gozar,godere
1188,panorama,panorama
1189,dominio,simbolico
1190,visual,visivo
1191,lienzo,tela
1192,representado,ad
1193,dictar,deta
1194,sea,sia
1195,belo,belo
1196,galico,galico
1197,resaltan,spicano
1198,azul,azuro
1199,paganas,pagane
1200,protectoras,protetrici
1201,neoclsicos,neoclasici
1202,revolucionaria,rivoluzionaria
1203,ideologa,alideologia
1204,expansin,espansione
1205,trabaj,lavorato
1206,clientes,clienti
1207,decor,decor
1208,muchas,di
1209,habitaciones,stanze
1210,miembros,membri
1211,familia,grupo
1212,cardinales,cardinali
1213,aparecen,compaiono
1214,cesare,cesare
1215,adems,inoltre
1216,incluye,tre
1217,relajantes,vedute
1218,sucesivas,seguono
1219,expulsin,caciata
1220,mercaderes,mercanti
1221,templo,tempio
1222,majestuosa,maestosa
1223,consta,complesivamente
1224,cuales,quali
1225,colgado,esposto
1226,diluvio,primo
1227,teracota,teracota
1228,mxico,mesico
1229,colocados,sistemati
1230,pertenecen,apartengono
1231,extraordinaria,straordinaria
1232,colecin,reperti
1233,porcelanas,porcelane
1234,orientales,orientali
1235,realizaron,basamenti
1236,exponer,espore
1237,hecho,","
1238,desmantelaron,le
1239,antiguo,gi
1240,nueva,nuova
1241,admirado,gi
1242,mencionarse,notevole
1243,manufacturas,le
1244,troleys,troley
1245,bolsones,sache
1246,mochilas,zaini
1247,plstico,di
1248,vidrio,vetro
1249,paraguas,guardaroba
1250,tomas,efetuare
1251,video,video
1252,tocar,fumare
1253,preciso,al
1254,respetar,aceso
1255,indicaciones,indicazioni
1256,generales,generali
1257,sealizacin,disabilit
1258,ascensores,ascensori
1259,medios,e
1260,ayuden,idonei
1261,superar,superare
1262,bareras,bariere
1263,arquitectnicas,architetoniche
1264,podran,posibilit
1265,surgir,delirlanda
1266,desplazamientos,con
1267,ruedas,ruote
1268,invidentes,vedenti
1269,hipovidentes,ipovedenti
1270,embajadores,embajadores
1271,utilizaba,adibita
1272,diplomtico,diplomatico
1273,cuerpo,polizia
1274,acreditado,","
1275,perdura,ancora
1276,compartido,infati
1277,vicisitudes,vicende
1278,histricas,singoli
1279,pueden,posono
1280,verse,tra
1281,recuadros,con
1282,stas,dunque
1283,cubren,la
1284,pictrico,pitorico
1285,adoracin,adorazione
1286,pastores,pastori
1287,ciera,conclude
1288,inspiradas,scene
1289,biblia,bibia
1290,imagen,tra
1291,nacimiento,nascita
1292,enfrente,fronte
1293,mural,dipinto
1294,misin,misione
1295,levada,importante
1296,fuera,fuori
1297,transformado,fu
1298,sede,sede
1299,efectuadas,napoleonica
1300,pavimento,elemento
1301,enriqueci,arichito
1302,paz,bosniaherzegovina
1303,preparado,finemente
1304,estaba,era
1305,vemos,le
1306,animada,movimentata
1307,escena,scena
1308,sacrificio,sacrificio
1309,pagano,pagano
1310,altares,altari
1311,dios,cielo
1312,vinculado,ativato
1313,mismo,steso
1314,tiempo,tempo
1315,recordaba,il
1316,obras,opere
1317,x,x
1318,elo,fine
1319,escultores,","
1320,msicos,musicisti
1321,arquitectos,musicisti
1322,retratos,di
1323,medaln,trova
1324,corona,alata
1325,veintids,ventidue
1326,retratados,rafigurati
1327,italianos,italiani
1328,sla,con
1329,excepcin,per
1330,compositor,numerose
1331,austriaco,austriaco
1332,apreciado,aprezato
1333,deste,","
1334,alumno,studente
1335,predilecto,predileto
1336,neoclsico,neoclasico
1337,antonio,antonio
1338,canova,canova
1339,ninguna,nepure
1340,elaboracin,predisposizione
1341,programa,di
1342,distintos,vari
1343,partidos,","
1344,hacen,dichiarato
1345,declaraciones,dichiarazioni
1346,prensa,stampa
1347,entrevistarse,lincontro
1348,otaviano,otaviano
1349,gregorio,gregorio
1350,abierta,visitabile
1351,ciere,delorario
1352,arcos,archi
1353,precisamente,proprio
1354,ventanales,finestroni
1355,artes,arti
1356,reinado,e
1357,motivo,ocasione
1358,esponsales,genaio
1359,prncipe,asturie
